,rise_time,rise_time_scale
35mm dish_ROI19_0,1.730485144284977,0.33256866650320877
35mm dish_ROI19_1,1.8937997471601604,0.2499556021670752
35mm dish_ROI19_2,1.8322968200411065,0.25128210401981765
35mm dish_ROI19_3,1.626201842900036,0.24574383114327752
35mm dish_ROI19_4,1.737783613285212,0.12546391433654577
35mm dish_ROI19_5,1.329408388150923,0.23955757975486258
35mm dish_ROI19_6,1.3933348760941984,0.41129775515571865
35mm dish_ROI19_7,1.8234676461010622,0.10782549077591123
35mm_ROI20_0,2.480342239605446,0.35949780904269146
35mm_ROI20_1,2.52734829621158,0.26886967689295055
35mm_ROI20_2,2.535713258050672,0.25877344721470946
35mm_ROI20_3,2.4310034036661197,0.3065706141755723
35mm_ROI20_4,2.532941472204795,0.2674413741741782
35mm_ROI20_5,2.3887347073632132,0.38550750793445865
35mm_ROI20_6,2.535713258050672,0.25877344721470946
35mm_ROI20_7,2.4310034036661197,0.3065706141755723
35mm_ROI15_0,1.738258608519567,0.3534915995889282
35mm_ROI15_1,1.546239206756334,0.45020869518227735
35mm_ROI15_2,1.9313547549625165,0.34818128831844386
35mm_ROI15_3,1.686600886364295,0.4358898672133149
35mm_ROI15_4,1.6922402742931038,0.36676329373364547
35mm_ROI15_5,1.7775203281316418,0.3101224055471646
35mm_ROI15_6,1.9413934996644564,0.3743827485704573
35mm_ROI15_7,1.6924875449585741,0.3928815190020141
35mm_ROI15_8,1.830380172130971,0.39096955756631213
35mm_ROI15_9,1.7302048124640275,0.3931183497973809
35mm_ROI17_0,1.535553845078994,0.30545958677673624
35mm_ROI17_1,1.4642156213975714,0.43686680980021686
35mm_ROI17_2,1.0000000000000002,1.44456125977018
35mm_ROI17_3,1.3896881684542643,0.5281352030905113
35mm_ROI18_0,2.647280952680556,0.3284667388948393
35mm_ROI18_1,2.6792802239500118,0.32936362510873257
35mm_ROI18_2,2.281554493681081,1.0478321340318764
35mm_ROI18_3,2.6484936387245424,0.4172290372265636
"35mm_ROI9-2, repre_0",2.7855459918036827,0.4096651034713267
"35mm_ROI9-2, repre_1",2.8901718892050554,0.33925705822632596
"35mm_ROI9-2, repre_2",2.8815525983881476,0.3768147652383678
"35mm_ROI9-2, repre_3",2.9344552611142047,0.40178353175717857
"35mm_ROI9-2, repre_4",2.740020772763882,0.31924013624044556
"35mm_ROI9-2, repre_5",2.8460749573800794,0.33544918480147135
"35mm_ROI9-2, repre_6",2.8842085122934584,0.3916043004383129
"35mm_ROI9-2, repre_7",2.923091839314965,0.2750109015572322
"35mm_ROI9-2, repre_8",3.1327075109190363,0.5225316054768243
"35mm_ROI9-2, repre_9",2.9817675459337014,0.4026775364021154
"35mm_ROI9-2, repre_10",2.8782667159124125,0.303141301068637
"35mm_ROI9-2, repre_11",2.9296657592775266,0.3111744388599848
"35mm_ROI9-2, repre_12",2.9309470352372076,0.35144552656666034
"35mm_ROI9-2, repre_13",2.921135847479601,0.22570480114165412
35mm_ROI10_0,1.834284623910882,0.38798705776770565
35mm_ROI10_1,1.7938260037788227,0.35935737365716797
35mm_ROI10_2,1.8304144616522586,0.31611758611721463
35mm_ROI10_3,1.6889168643147299,0.4210219486371163
35mm_ROI10_4,1.8317127506170858,0.3229806522084563
35mm_ROI12 repre_0,2.495434760192905,0.37743094425016627
35mm_ROI12 repre_1,2.2916083756235195,0.47026177309491746
35mm_ROI12 repre_2,2.537865072785973,0.4162433588324339
35mm_ROI12 repre_3,2.5430412183814526,0.3687346672988008
35mm_ROI12 repre_4,2.426976358358996,0.33084563620869095
35mm_ROI12 repre_5,2.4924846776772234,0.31725952695220133
35mm_ROI12 repre_6,2.4369474744402426,0.34418026020858195
35mm_ROI13_0,2.2394489871713366,0.3355333923760296
35mm_ROI13_1,2.2879745643684903,0.2878493340489703
35mm_ROI13_2,2.329266553875464,0.2741916576605075
35mm_ROI13_3,2.284893412083088,0.3005713650072902
35mm_ROI13_4,2.2306385871788263,0.2861393557790641
35mm_ROI13_5,2.234573417994528,0.29253619863560715
