,rise_time,rise_time_scale
ROI14_0,4.866726834101527,0.5681486504511456
ROI14_1,4.943544199735825,0.332532335507796
ROI14_2,4.894660734925894,0.345415115718767
ROI14_3,4.678485354121926,0.5337574677529856
ROI14_4,4.879338954135084,0.25338528898454343
ROI14_5,4.837709295499831,0.18802543548922482
ROI14_6,4.869683206981829,0.22270836891046045
ROI14_7,4.917519956618262,0.2123760159017394
ROI14_8,4.649999951361196,0.5470110724033801
ROI14_9,4.8420735442219645,0.33499476436195114
ROI14_10,4.83812404087675,0.2679909004943079
ROI14_11,4.834876131434402,0.2541688533079923
ROI14_12,4.866335432688358,0.24991030219329038
ROI24_0,4.884063085389918,0.2353569501931573
ROI24_1,4.826381173409713,0.38973114063830483
ROI24_2,4.801528087896535,0.2889313361100844
ROI24_3,4.827189585806723,0.3578175406577256
ROI24_4,4.824637625815655,0.3201182217689202
ROI24_5,5.032515370787101,0.22349036499133831
ROI20_0,4.94501729838487,0.37601399562560056
ROI20_1,4.98622191256161,0.3943625753931497
ROI20_2,4.931595552090761,0.3156176221551893
ROI20_3,4.892553750598649,0.2837008931901721
ROI20_4,4.946791066274787,0.37041523802082255
ROI20_5,4.918934943973581,0.380907050270521
ROI19_0,4.988011176742558,0.39692095167439767
ROI19_1,4.974644088919174,0.34413052227191665
ROI19_2,4.9936823589824515,0.41061521507416204
ROI17_repre_0,4.887838163840605,0.4299283885097094
ROI17_repre_1,4.724073385218396,1.2121957323275823
ROI17_repre_2,4.842336798446385,0.22262319823471904
ROI17_repre_3,4.9839301397935145,0.20098014509684098
ROI17_repre_4,4.971128565072867,0.28978147976883284
ROI17_repre_5,4.880866647010378,0.31583920967025736
ROI17_repre_6,4.836410001058314,0.25490550848215326
ROI17_repre_7,4.928374338546948,0.27682814616892876
ROI8-3 repre_0,4.8901038981699685,0.20046895468877401
ROI8-3 repre_1,4.696366258953673,0.9332137847127576
ROI8-3 repre_2,5.1401156951814375,0.30050267677211706
ROI8-3 repre_3,4.942513315437527,0.38208252573331336
ROI8-3 repre_4,4.934051507580139,0.41971654697805383
ROI8-3 repre_5,4.9911305190488395,0.40994760724427953
ROI8-3 repre_6,4.987223423563737,0.39736967164401
ROI8-3 repre_7,4.975743533550791,0.41069228258259555
ROI8-3 repre_8,4.936574154416745,0.41067700755033204
ROI8-3 repre_9,4.982496021695734,0.355230685603997
ROI8-3 repre_10,4.925925169004729,0.2834566762447899
ROI8-3 repre_11,5.082813384791268,0.3475077750925386
ROI9_0,4.92872975246409,0.36326670446054105
ROI9_1,4.83513220052052,0.35927760958454336
ROI9_2,4.923825860266249,0.3847155572534535
ROI9_3,5.031659017188429,0.31030202040922483
ROI9_4,4.946498895535385,0.40039574252522664
ROI9_5,5.028522785266739,0.39648374813865106
ROI8-4 repre_0,4.94409041322756,0.3876419050091663
ROI8-4 repre_1,4.982752806669798,0.39922483508079976
ROI8-4 repre_2,4.939440054417321,0.3805740995170739
ROI8-4 repre_3,4.78326599382282,0.3483483147873127
ROI8-4 repre_4,4.929735250663676,0.26277560315576304
ROI8-4 repre_5,5.089889546001911,0.282628449921822
ROI8-4 repre_6,4.984128258000495,0.36083609261538
ROI8-4 repre_7,4.984601213836018,0.3485667725606844
ROI8-4 repre_8,4.979719066650612,0.24857674146852585
ROI8-4 repre_9,5.192433070959492,0.43267545848481365
