,rise_time,rise_time_scale
ROI14_0,4.8433301017386805,0.5902830973670916
ROI14_1,4.943544237062816,0.3325322504559227
ROI14_2,4.894660621351138,0.34541544106607713
ROI14_3,4.678484172473183,0.5337600423574704
ROI14_4,4.879339642553233,0.2533838692768176
ROI14_5,4.837709509178199,0.18802494843153955
ROI14_6,4.869683147550564,0.22270849619020552
ROI14_7,4.891236243219743,0.2355846699953019
ROI14_8,4.649999982255754,0.5487718132775312
ROI14_9,4.842073543885259,0.3349947645631629
ROI14_10,4.838124027816842,0.26799093055023976
ROI14_11,4.834875759959051,0.2541696736852499
ROI14_12,4.839387205446858,0.27392111374993666
ROI24_0,4.88406293425254,0.23535727535185547
ROI24_1,4.826380803670872,0.3897319101403394
ROI24_2,4.8015271837874245,0.2889328913648511
ROI24_3,4.827189677802969,0.3578173493153129
ROI24_4,4.824637628926245,0.32011821591530226
ROI24_5,5.032515396026209,0.2234903097156378
ROI20_0,4.945016452847338,0.37601547769689514
ROI20_1,4.9862240509231,0.3943578710517474
ROI20_2,4.931595533227608,0.3156176599033034
ROI20_3,4.8925536667149405,0.28370108535564614
ROI20_4,4.946790307857055,0.3704169964692711
ROI20_5,4.91893607884052,0.38090476833665804
ROI19_0,4.98801014180513,0.3969232487567438
ROI19_1,4.9746445455509365,0.3441295941520652
ROI19_2,4.993682059590954,0.4106158801002136
ROI17_repre_0,4.88783912935168,0.4299262931841287
ROI17_repre_1,4.7240741312174315,1.2121942360155573
ROI17_repre_2,4.842336747981544,0.22262331478554537
ROI17_repre_3,4.9839305667129805,0.20097921840830818
ROI17_repre_4,4.943023637416228,0.31558541011500313
ROI17_repre_5,4.880865903974016,0.31584077533284305
ROI17_repre_6,4.8364100317083105,0.25490543691028866
ROI17_repre_7,4.928374345707549,0.2768281313877741
ROI8-3 repre_0,4.890103569287233,0.20046972399096025
ROI8-3 repre_1,4.696376390460683,0.9331924558111858
ROI8-3 repre_2,5.140115767205416,0.30050251790828403
ROI8-3 repre_3,4.942511322118097,0.3820870619928404
ROI8-3 repre_4,4.934051536214238,0.41971648585758364
ROI8-3 repre_5,4.991130140262607,0.4099484541110551
ROI8-3 repre_6,4.98722146549966,0.3973739538052656
ROI8-3 repre_7,4.97574364165926,0.4106920578849576
ROI8-3 repre_8,4.936574056574466,0.4106772190843482
ROI8-3 repre_9,4.982495068961741,0.3552327177903718
ROI8-3 repre_10,4.925924613780365,0.283457805357919
ROI8-3 repre_11,5.082812226881701,0.3475102465361481
ROI9_0,4.928729144916382,0.3632679886914726
ROI9_1,4.8351320044194255,0.3592780316696591
ROI9_2,4.923826041775049,0.384715194106593
ROI9_3,5.03165910557661,0.3103018192496687
ROI9_4,4.946498773289225,0.4003960264050017
ROI9_5,4.996679938684929,0.42622763482355536
ROI8-4 repre_0,4.944089156062347,0.3876448200602882
ROI8-4 repre_1,4.982750830221806,0.39922920461575334
ROI8-4 repre_2,4.9394391563251485,0.3805761092222725
ROI8-4 repre_3,4.7832663370481985,0.34834759120450526
ROI8-4 repre_4,4.929735171535326,0.2627757724205771
ROI8-4 repre_5,5.089890862591833,0.2826254537993113
ROI8-4 repre_6,4.984129084769333,0.36083431070378646
ROI8-4 repre_7,4.984601183380403,0.3485668335787574
ROI8-4 repre_8,4.979719034735476,0.24857680727944884
ROI8-4 repre_9,5.192435779094777,0.432669501278367
